experiment_id,label,title,num_episodes,mean_steps,std_steps,mean_final_vitality,std_final_vitality,death_rate,resource_gain_per_step,net_energy_efficiency,successful_consume_rate,consume_on_empty_rate,failed_movement_rate,action_entropy,policy_sharpness,action_inertia,unique_cells_visited,coverage_efficiency,revisit_rate,system_aw_arbitration,system_aw_behavior,system_aw_curiosity,system_aw_world_model,comparison_reference_survival_rate,comparison_candidate_survival_rate,comparison_mean_trajectory_distance,comparison_total_steps_delta,comparison_final_vitality_delta
exp_01,aw-reduction-check,A+W Reduction Check,50,171.82,42.36257310409743,0.46237000000000017,0.42080958651152434,0.38,0.7384888975691477,0.84004961399623,0.8,0.0,0.0,1.5710685493656897,0.2568394007290076,0.16429072771142972,47.7,0.31002514624306693,0.6637711261533036,"{'curiosity_dominance_rate': 0.0, 'mean_curiosity_weight': 0.614000200616926, 'mean_hunger_weight': 1.0, 'arbitrated_step_count': 8591}","{'curiosity_led_move_rate': 0.0, 'consume_under_curiosity_pressure_rate': None, 'movement_step_rate': 0.8201606332208125, 'consume_step_rate': 0.1676172738912816}","{'mean_curiosity_activation': 0.0, 'mean_spatial_novelty': 0.617290017109158, 'mean_sensory_novelty': 0.04602789006908121, 'mean_composite_novelty': 0.3316589535891178, 'curiosity_pressure_rate': 0.0}","{'world_model_unique_cells': 47.7, 'mean_visit_count_at_current': 3.9210802002095217, 'world_model_revisit_ratio': 0.7155328589324008}",0.62,0.62,0.0,0.0,0.0
exp_02,aw-current-anchor,Current Workspace Anchor,50,180.6,35.28569115094673,0.5397600000000002,0.36617403294062245,0.28,0.6546552608315206,0.6778647890622926,0.88,0.0,0.0,1.50419233838593,0.31626696083591094,0.3123940750263961,108.92,0.6400082129664223,0.3469724070542046,"{'curiosity_dominance_rate': 0.08095238095238096, 'mean_curiosity_weight': 0.32150410457643896, 'mean_hunger_weight': 0.5773969134159259, 'arbitrated_step_count': 9030}","{'curiosity_led_move_rate': 0.3753045404208195, 'consume_under_curiosity_pressure_rate': 0.011376896149358226, 'movement_step_rate': 0.9389811738648948, 'consume_step_rate': 0.0610188261351052}","{'mean_curiosity_activation': 0.3335069022371972, 'mean_spatial_novelty': 0.6750722798353889, 'mean_sensory_novelty': 0.1343843816203634, 'mean_composite_novelty': 0.3776939358171168, 'curiosity_pressure_rate': 0.3796234772978959}","{'world_model_unique_cells': 108.92, 'mean_visit_count_at_current': 2.225249169435216, 'world_model_revisit_ratio': 0.3803713903428131}",0.62,0.72,10.654305953696742,8.78,0.07739000000000024
exp_03,aw-conservative-forager,Conservative Foraging Explorer,50,177.78,37.04931308405055,0.53974,0.3953257168462482,0.3,0.6430249577216166,0.6678660421762178,0.88,0.0,0.0,1.5089357081140204,0.28871011651911727,0.3274369516549143,109.46,0.6566570177510207,0.3299572717490098,"{'curiosity_dominance_rate': 0.0, 'mean_curiosity_weight': 0.23249863087578548, 'mean_hunger_weight': 0.6540903201669056, 'arbitrated_step_count': 8889}","{'curiosity_led_move_rate': 0.2163347958150523, 'consume_under_curiosity_pressure_rate': 0.0, 'movement_step_rate': 0.9348633142085724, 'consume_step_rate': 0.0651366857914276}","{'mean_curiosity_activation': 0.2122253668454226, 'mean_spatial_novelty': 0.679950399849649, 'mean_sensory_novelty': 0.12619177459700895, 'mean_composite_novelty': 0.4030710872233306, 'curiosity_pressure_rate': 0.2163347958150523}","{'world_model_unique_cells': 109.46, 'mean_visit_count_at_current': 1.9830127123410957, 'world_model_revisit_ratio': 0.36511092332935474}",0.62,0.7,10.780681596993544,5.96,0.07737000000000015
exp_04,aw-sharp-handoff,Sharp Hunger Curiosity Handoff,50,176.7,38.51661978938442,0.4289700000000002,0.34648981817652313,0.34,0.5832523942478431,0.6020848205120662,0.86,0.0,0.0,1.4905670056372904,0.33742132258157626,0.34778735451735726,120.8,0.7180782914339144,0.26944706541198427,"{'curiosity_dominance_rate': 0.155631013016412, 'mean_curiosity_weight': 0.25204758679065115, 'mean_hunger_weight': 0.489343892151417, 'arbitrated_step_count': 8835}","{'curiosity_led_move_rate': 0.3750990379173741, 'consume_under_curiosity_pressure_rate': 0.006594724220623501, 'movement_step_rate': 0.9455574419920769, 'consume_step_rate': 0.05444255800792303}","{'mean_curiosity_activation': 0.46350117112031497, 'mean_spatial_novelty': 0.6803007117587501, 'mean_sensory_novelty': 0.11868345465836021, 'mean_composite_novelty': 0.42757294606358276, 'curiosity_pressure_rate': 0.37758913412563666}","{'world_model_unique_cells': 120.8, 'mean_visit_count_at_current': 1.7076400679117147, 'world_model_revisit_ratio': 0.30307751668542154}",0.62,0.66,11.402283767742206,4.88,-0.03339999999999981
exp_05,aw-spatial-explorer,Spatial Novelty Explorer,50,166.1,41.42571665040933,0.2958900000000002,0.3243726913598002,0.5,0.47573119973135414,0.48932020796470027,0.84,0.0,0.0,1.4770166766474484,0.38743555760487736,0.3834183733562119,121.7,0.7622177134932181,0.2287618877177225,"{'curiosity_dominance_rate': 0.2217940999397953, 'mean_curiosity_weight': 0.323120535729758, 'mean_hunger_weight': 0.5510356209607105, 'arbitrated_step_count': 8305}","{'curiosity_led_move_rate': 0.35448524984948826, 'consume_under_curiosity_pressure_rate': 0.00641241984475194, 'movement_step_rate': 0.954846478025286, 'consume_step_rate': 0.04515352197471403}","{'mean_curiosity_activation': 0.41467944271378754, 'mean_spatial_novelty': 0.6675968711790896, 'mean_sensory_novelty': 0.1057535599744655, 'mean_composite_novelty': 0.6114125400586525, 'curiosity_pressure_rate': 0.3567730282962071}","{'world_model_unique_cells': 121.7, 'mean_visit_count_at_current': 1.4065021071643589, 'world_model_revisit_ratio': 0.2570540307776408}",0.62,0.5,11.036570542443652,-5.72,-0.16647999999999985
exp_06,aw-sensory-opportunist,Sensory Opportunist,50,183.54,34.59896530244801,0.5677800000000004,0.3351771197441737,0.22,0.6774676369301063,0.7026081079969947,0.92,0.0,0.0,1.5042601613498718,0.3085438646517637,0.24750979641287518,80.28,0.4772708523842752,0.5146206834766267,"{'curiosity_dominance_rate': 0.18350223384548328, 'mean_curiosity_weight': 0.3859298887414166, 'mean_hunger_weight': 0.5589282467173362, 'arbitrated_step_count': 9177}","{'curiosity_led_move_rate': 0.47793396534815297, 'consume_under_curiosity_pressure_rate': 0.01747311827956989, 'movement_step_rate': 0.93461915658712, 'consume_step_rate': 0.06538084341288003}","{'mean_curiosity_activation': 0.3585366193928892, 'mean_spatial_novelty': 0.6372626947903887, 'mean_sensory_novelty': 0.16391524849380776, 'mean_composite_novelty': 0.25858473775312496, 'curiosity_pressure_rate': 0.4864334749918274}","{'world_model_unique_cells': 80.28, 'mean_visit_count_at_current': 3.896044458973521, 'world_model_revisit_ratio': 0.5382495088396971}",0.62,0.78,10.297772725914287,11.72,0.10541000000000036
