experiment_id,label,title,num_episodes,mean_steps,std_steps,mean_final_vitality,std_final_vitality,death_rate,resource_gain_per_step,net_energy_efficiency,successful_consume_rate,consume_on_empty_rate,failed_movement_rate,action_entropy,policy_sharpness,action_inertia,unique_cells_visited,coverage_efficiency,revisit_rate,system_aw_arbitration,system_aw_behavior,system_aw_curiosity,system_aw_world_model,comparison_reference_survival_rate,comparison_candidate_survival_rate,comparison_mean_trajectory_distance,comparison_total_steps_delta,comparison_final_vitality_delta
exp_01,aw-reduction-check,A+W Reduction Check,50,265.02,124.24789575682964,0.27707000000000004,0.4020054105357289,0.64,0.7346802383955452,0.8314840337398102,0.8,0.0,0.0,1.5741476946871165,0.25825295422867145,0.16909457437087924,61.56,0.2786400442966401,0.7015191275198525,"{'curiosity_dominance_rate': 0.0, 'mean_curiosity_weight': 0.6202456834578385, 'mean_hunger_weight': 1.0, 'arbitrated_step_count': 13251}","{'curiosity_led_move_rate': 0.0, 'consume_under_curiosity_pressure_rate': None, 'movement_step_rate': 0.8095238095238095, 'consume_step_rate': 0.1771941740246019}","{'mean_curiosity_activation': 0.0, 'mean_spatial_novelty': 0.5686174202994758, 'mean_sensory_novelty': 0.05657386387820911, 'mean_composite_novelty': 0.3125956420888449, 'curiosity_pressure_rate': 0.0}","{'world_model_unique_cells': 61.56, 'mean_visit_count_at_current': 5.252433778582748, 'world_model_revisit_ratio': 0.7414162891187268}",0.36,0.36,0.0,0.0,0.0
exp_02,aw-current-anchor,Current Workspace Anchor,50,309.1,119.5394913825552,0.4039300000000003,0.37767067678071087,0.42,0.653289016107107,0.674623089158295,0.88,0.0,0.0,1.502266912529298,0.31521466011800525,0.2984733256783985,153.5,0.5711868913761751,0.41803218728165636,"{'curiosity_dominance_rate': 0.08463280491750243, 'mean_curiosity_weight': 0.3408712778564439, 'mean_hunger_weight': 0.570477148201556, 'arbitrated_step_count': 15455}","{'curiosity_led_move_rate': 0.4370106761565836, 'consume_under_curiosity_pressure_rate': 0.016598718695398952, 'movement_step_rate': 0.9396958912973148, 'consume_step_rate': 0.06030410870268522}","{'mean_curiosity_activation': 0.3209554271815531, 'mean_spatial_novelty': 0.6178149820851123, 'mean_sensory_novelty': 0.16508005280051033, 'mean_composite_novelty': 0.36881077097857373, 'curiosity_pressure_rate': 0.44438692979618244}","{'world_model_unique_cells': 153.5, 'mean_visit_count_at_current': 3.0935619540601746, 'world_model_revisit_ratio': 0.4445803452266772}",0.36,0.58,11.33591970762583,44.08,0.12686000000000025
exp_03,aw-conservative-forager,Conservative Foraging Explorer,50,299.36,121.61328216934194,0.32719000000000004,0.4095753152962225,0.52,0.6166849895106224,0.6373749520807683,0.88,0.0,0.0,1.5007063681811765,0.2894220731451849,0.3206093349533364,160.5,0.6098609385057031,0.37878906951842345,"{'curiosity_dominance_rate': 0.0, 'mean_curiosity_weight': 0.23400753344155, 'mean_hunger_weight': 0.6555277928293651, 'arbitrated_step_count': 14968}","{'curiosity_led_move_rate': 0.22735168359166222, 'consume_under_curiosity_pressure_rate': 0.0, 'movement_step_rate': 0.9387359700694815, 'consume_step_rate': 0.06126402993051844}","{'mean_curiosity_activation': 0.20853753486696666, 'mean_spatial_novelty': 0.631697367102463, 'mean_sensory_novelty': 0.13971371822506892, 'mean_composite_novelty': 0.38570554266376633, 'curiosity_pressure_rate': 0.22735168359166222}","{'world_model_unique_cells': 160.5, 'mean_visit_count_at_current': 2.6095670764297165, 'world_model_revisit_ratio': 0.40730359892520795}",0.36,0.48,11.178408373592355,34.34,0.050120000000000046
exp_04,aw-sharp-handoff,Sharp Hunger Curiosity Handoff,50,280.32,120.0039066030769,0.2855900000000002,0.37015405833247333,0.6,0.5791050752644622,0.5969153531057756,0.86,0.0,0.0,1.490426065379775,0.3338867998248225,0.3335032881280563,158.6,0.6392244752258365,0.35071757429365413,"{'curiosity_dominance_rate': 0.1586044520547945, 'mean_curiosity_weight': 0.2532479406251573, 'mean_hunger_weight': 0.49153543569929986, 'arbitrated_step_count': 14016}","{'curiosity_led_move_rate': 0.3994720319634703, 'consume_under_curiosity_pressure_rate': 0.013739651224238154, 'movement_step_rate': 0.9440639269406392, 'consume_step_rate': 0.05593607305936073}","{'mean_curiosity_activation': 0.4535904186614948, 'mean_spatial_novelty': 0.622581600119269, 'mean_sensory_novelty': 0.13590632647735737, 'mean_composite_novelty': 0.4035777269804118, 'curiosity_pressure_rate': 0.405037100456621}","{'world_model_unique_cells': 158.6, 'mean_visit_count_at_current': 2.4569777397260273, 'world_model_revisit_ratio': 0.3774269130039598}",0.36,0.4,11.735070075613116,15.3,0.008520000000000121
exp_05,aw-spatial-explorer,Spatial Novelty Explorer,50,243.38,122.277862264598,0.16682000000000016,0.2842392787775822,0.7,0.4729202680618084,0.4860429315096506,0.84,0.0,0.0,1.476429654323087,0.3802726337139554,0.3774344663685485,156.22,0.7098939989870746,0.28196610147315204,"{'curiosity_dominance_rate': 0.2198208562741392, 'mean_curiosity_weight': 0.31546705383780993, 'mean_hunger_weight': 0.5530657395868561, 'arbitrated_step_count': 12169}","{'curiosity_led_move_rate': 0.35294601035417866, 'consume_under_curiosity_pressure_rate': 0.013324144268320699, 'movement_step_rate': 0.9510230914619114, 'consume_step_rate': 0.04897690853808859}","{'mean_curiosity_activation': 0.4092654945137717, 'mean_spatial_novelty': 0.6207988567388535, 'mean_sensory_novelty': 0.11634498032607016, 'mean_composite_novelty': 0.5703534690975893, 'curiosity_pressure_rate': 0.3577122195743282}","{'world_model_unique_cells': 156.22, 'mean_visit_count_at_current': 1.6363711069110034, 'world_model_revisit_ratio': 0.3065868074193869}",0.36,0.3,11.440663924318878,-21.64,-0.11024999999999988
exp_06,aw-sensory-opportunist,Sensory Opportunist,50,330.58,116.00380855816768,0.5203500000000003,0.3727933911699619,0.32,0.710047707267062,0.7353747150877191,0.92,0.0,0.0,1.5064088930326247,0.31093831453152965,0.22980111348094276,109.08,0.40615603552188717,0.5869318020901395,"{'curiosity_dominance_rate': 0.21422953596708816, 'mean_curiosity_weight': 0.4092849771444108, 'mean_hunger_weight': 0.5485518023549506, 'arbitrated_step_count': 16529}","{'curiosity_led_move_rate': 0.5527860124629439, 'consume_under_curiosity_pressure_rate': 0.02372048295758094, 'movement_step_rate': 0.9338132978401598, 'consume_step_rate': 0.06618670215984028}","{'mean_curiosity_activation': 0.34141455612369775, 'mean_spatial_novelty': 0.5632570889784647, 'mean_sensory_novelty': 0.20237143719690773, 'mean_composite_novelty': 0.2745485675532209, 'curiosity_pressure_rate': 0.5662169520237159}","{'world_model_unique_cells': 109.08, 'mean_visit_count_at_current': 6.801742392159236, 'world_model_revisit_ratio': 0.6055110128548655}",0.36,0.68,10.805384178008598,65.56,0.2432800000000004
