experiment_id,label,title,num_episodes,mean_steps,std_steps,mean_final_vitality,std_final_vitality,death_rate,resource_gain_per_step,net_energy_efficiency,successful_consume_rate,consume_on_empty_rate,failed_movement_rate,action_entropy,policy_sharpness,action_inertia,unique_cells_visited,coverage_efficiency,revisit_rate,system_aw_arbitration,system_aw_behavior,system_aw_curiosity,system_aw_world_model,comparison_reference_survival_rate,comparison_candidate_survival_rate,comparison_mean_trajectory_distance,comparison_total_steps_delta,comparison_final_vitality_delta
exp_01,world-baseline-anchor,Baseline World Anchor,50,330.58,116.00380855816768,0.5203500000000003,0.3727933911699619,0.32,0.710047707267062,0.7353747150877191,0.92,0.0,0.0,1.5064088930326247,0.31093831453152965,0.22980111348094276,109.08,0.40615603552188717,0.5869318020901395,"{'curiosity_dominance_rate': 0.21422953596708816, 'mean_curiosity_weight': 0.4092849771444108, 'mean_hunger_weight': 0.5485518023549506, 'arbitrated_step_count': 16529}","{'curiosity_led_move_rate': 0.5527860124629439, 'consume_under_curiosity_pressure_rate': 0.02372048295758094, 'movement_step_rate': 0.9338132978401598, 'consume_step_rate': 0.06618670215984028}","{'mean_curiosity_activation': 0.34141455612369775, 'mean_spatial_novelty': 0.5632570889784647, 'mean_sensory_novelty': 0.20237143719690773, 'mean_composite_novelty': 0.2745485675532209, 'curiosity_pressure_rate': 0.5662169520237159}","{'world_model_unique_cells': 109.08, 'mean_visit_count_at_current': 6.801742392159236, 'world_model_revisit_ratio': 0.6055110128548655}",0.36,0.68,10.805384178008598,65.56,0.2432800000000004
exp_02,world-open-fast-regen,Open World with Fast Uniform Regeneration,50,400.0,0.0,0.8422800000000003,0.031316634557372325,0.0,0.9292200000000007,0.9592948737184297,1.0,0.0,0.0,1.4391267996490296,0.31706103737785635,0.148671679197995,65.22,0.16832708177044256,0.8286566844919784,"{'curiosity_dominance_rate': 0.36, 'mean_curiosity_weight': 0.48775974197400856, 'mean_hunger_weight': 0.5175997930374974, 'arbitrated_step_count': 20000}","{'curiosity_led_move_rate': 0.8521, 'consume_under_curiosity_pressure_rate': 0.02977512097922004, 'movement_step_rate': 0.9373, 'consume_step_rate': 0.0627}","{'mean_curiosity_activation': 0.3273852572584275, 'mean_spatial_novelty': 0.5004669814241195, 'mean_sensory_novelty': 0.24293918321094876, 'mean_composite_novelty': 0.2944447428535866, 'curiosity_pressure_rate': 0.87825}","{'world_model_unique_cells': 65.22, 'mean_visit_count_at_current': 21.20755, 'world_model_revisit_ratio': 0.8373566084788027}",1.0,1.0,15.6513,0.0,-0.15207999999999966
exp_03,world-sparse-scarcity,Sparse Scarcity Patches,50,234.88,99.00719973820087,0.056356000000000135,0.14916115467506974,0.84,0.47773572238232836,0.49241427035697266,1.0,0.0,0.0,1.5083467459517126,0.34175206740549513,0.3428077893030234,142.78,0.6423524413372205,0.34421779073467745,"{'curiosity_dominance_rate': 0.0795299727520436, 'mean_curiosity_weight': 0.20884624100926386, 'mean_hunger_weight': 0.6639874592234251, 'arbitrated_step_count': 11744}","{'curiosity_led_move_rate': 0.17489782016348773, 'consume_under_curiosity_pressure_rate': 0.009643201542912247, 'movement_step_rate': 0.9413317438692098, 'consume_step_rate': 0.05866825613079019}","{'mean_curiosity_activation': 0.40958239181726114, 'mean_spatial_novelty': 0.6987285194332139, 'mean_sensory_novelty': 0.025163996315932156, 'mean_composite_novelty': 0.15987690093939166, 'curiosity_pressure_rate': 0.1766008174386921}","{'world_model_unique_cells': 142.78, 'mean_visit_count_at_current': 1.9365633514986376, 'world_model_revisit_ratio': 0.3775356978268102}",0.0,0.16,10.768596282058459,104.24,0.056356000000000135
exp_04,world-rich-cluster-islands,Rich Cluster Islands,50,311.14,114.49384437601881,0.4017750000000001,0.40119065682665134,0.46,0.6652494233032015,0.6843191793205433,0.88,0.0,0.0,1.478004847564653,0.3101995138709459,0.23488972394019705,113.86,0.442566429145401,0.5527405631041339,"{'curiosity_dominance_rate': 0.253712155299865, 'mean_curiosity_weight': 0.41472412468662956, 'mean_hunger_weight': 0.5518532211182979, 'arbitrated_step_count': 15557}","{'curiosity_led_move_rate': 0.5882882303786077, 'consume_under_curiosity_pressure_rate': 0.023161490020279646, 'movement_step_rate': 0.9469692100019284, 'consume_step_rate': 0.053030789998071606}","{'mean_curiosity_activation': 0.3316677452874482, 'mean_spatial_novelty': 0.5944632603660099, 'mean_sensory_novelty': 0.2255069406804824, 'mean_composite_novelty': 0.299298204617587, 'curiosity_pressure_rate': 0.6022369351417368}","{'world_model_unique_cells': 113.86, 'mean_visit_count_at_current': 6.773735296008228, 'world_model_revisit_ratio': 0.5677224719009396}",0.44,0.54,10.61678393399591,41.44,0.040825
exp_05,world-toroidal-wrap,Toroidal Wraparound Grid,50,389.8,48.35907360568444,0.7263600000000003,0.20373090192702845,0.06,0.8781671955503515,0.909854034299332,0.98,0.0,0.0,1.5154078409741099,0.3100409572123274,0.20834224214724112,116.98,0.32176131857438756,0.6687636503007086,"{'curiosity_dominance_rate': 0.22180605438686507, 'mean_curiosity_weight': 0.4298648316603437, 'mean_hunger_weight': 0.5350031600628494, 'arbitrated_step_count': 19490}","{'curiosity_led_move_rate': 0.5856336582863007, 'consume_under_curiosity_pressure_rate': 0.022271714922048998, 'movement_step_rate': 0.9307850179579271, 'consume_step_rate': 0.06921498204207285}","{'mean_curiosity_activation': 0.3294537308309359, 'mean_spatial_novelty': 0.6040300829859945, 'mean_sensory_novelty': 0.2337500269041228, 'mean_composite_novelty': 0.30780603812050017, 'curiosity_pressure_rate': 0.5989738327347358}","{'world_model_unique_cells': 141.68, 'mean_visit_count_at_current': 5.556900974858902, 'world_model_revisit_ratio': 0.6280316418870003}",0.42,0.94,10.438479100420258,97.34,0.3999700000000006
exp_06,world-compact-dense-feedback,Compact Dense Feedback Arena,50,400.0,0.0,0.8207360000000001,0.059238760149079,0.0,0.9234090000000005,0.9537224366091525,1.0,0.0,0.0,1.4546577039233854,0.3202998974593698,0.126265664160401,49.48,0.12775493873468372,0.8693035294117648,"{'curiosity_dominance_rate': 0.35805, 'mean_curiosity_weight': 0.486851932946167, 'mean_hunger_weight': 0.5179596401014941, 'arbitrated_step_count': 20000}","{'curiosity_led_move_rate': 0.8188, 'consume_under_curiosity_pressure_rate': 0.029570370370370372, 'movement_step_rate': 0.93645, 'consume_step_rate': 0.06355}","{'mean_curiosity_activation': 0.3184394824416463, 'mean_spatial_novelty': 0.47530641341530044, 'mean_sensory_novelty': 0.2669430597585095, 'mean_composite_novelty': 0.3086157304898682, 'curiosity_pressure_rate': 0.84375}","{'world_model_unique_cells': 49.48, 'mean_visit_count_at_current': 15.0852, 'world_model_revisit_ratio': 0.8766084788029923}",1.0,1.0,8.6958,0.0,-0.17304399999999975
exp_07,world-large-open-field,Large Open Field,50,298.5,123.8623833130947,0.40334000000000025,0.3955410112744317,0.44,0.6283151457211333,0.6479515760272716,0.86,0.0,0.0,1.4811310119471757,0.28600631964227957,0.2533429480611193,121.46,0.5160371122407347,0.47806201500985196,"{'curiosity_dominance_rate': 0.23115577889447236, 'mean_curiosity_weight': 0.40403515880586993, 'mean_hunger_weight': 0.5561987586626438, 'arbitrated_step_count': 14925}","{'curiosity_led_move_rate': 0.5543048576214405, 'consume_under_curiosity_pressure_rate': 0.01990285511195356, 'movement_step_rate': 0.943249581239531, 'consume_step_rate': 0.05675041876046901}","{'mean_curiosity_activation': 0.33463769272819627, 'mean_spatial_novelty': 0.5865110212181384, 'mean_sensory_novelty': 0.21935097714731974, 'mean_composite_novelty': 0.29278298596148455, 'curiosity_pressure_rate': 0.5655611390284757}","{'world_model_unique_cells': 121.46, 'mean_visit_count_at_current': 5.72536013400335, 'world_model_revisit_ratio': 0.49613904091575217}",0.4,0.56,13.056322938434311,44.04,0.0674080000000002
