experiment_id,label,title,num_episodes,mean_steps,std_steps,mean_final_vitality,std_final_vitality,death_rate,resource_gain_per_step,net_energy_efficiency,successful_consume_rate,consume_on_empty_rate,failed_movement_rate,action_entropy,policy_sharpness,action_inertia,unique_cells_visited,coverage_efficiency,revisit_rate,system_aw_arbitration,system_aw_behavior,system_aw_curiosity,system_aw_world_model,comparison_reference_survival_rate,comparison_candidate_survival_rate,comparison_mean_trajectory_distance,comparison_total_steps_delta,comparison_final_vitality_delta
exp_01,world-baseline-anchor,Baseline World Anchor,50,310.4,118.94099377422405,0.2893500000000002,0.2774453504746478,0.44,0.6296568965742828,0.6484109148650393,0.88,0.0,0.0,1.47776751534171,0.41019511301597467,0.22977015177455987,102.32,0.4186601407392461,0.5771539542005195,"{'curiosity_dominance_rate': 0.28556701030927834, 'mean_curiosity_weight': 0.34462049676224343, 'mean_hunger_weight': 0.4503950500531609, 'arbitrated_step_count': 15520}","{'curiosity_led_move_rate': 0.6167525773195877, 'consume_under_curiosity_pressure_rate': 0.025155311131479785, 'movement_step_rate': 0.9445876288659794, 'consume_step_rate': 0.055412371134020616}","{'mean_curiosity_activation': 0.7912891341533893, 'mean_spatial_novelty': 0.549722766333702, 'mean_sensory_novelty': 0.2275082761084225, 'mean_composite_novelty': 0.30806189866475864, 'curiosity_pressure_rate': 0.6326675257731958}","{'world_model_unique_cells': 102.32, 'mean_visit_count_at_current': 7.162886597938145, 'world_model_revisit_ratio': 0.5912207861722741}",0.56,0.56,0.0,0.0,0.0
exp_02,world-open-fast-regen,Open World with Fast Uniform Regeneration,50,400.0,0.0,0.5694200000000004,0.03337849007968414,0.0,0.8635049999999996,0.8891599928352509,1.0,0.0,0.0,1.454392567822891,0.3975892638254621,0.14105263157894735,68.18,0.17551354004962252,0.821659800214459,"{'curiosity_dominance_rate': 0.33305, 'mean_curiosity_weight': 0.38319154079999296, 'mean_hunger_weight': 0.410281178560008, 'arbitrated_step_count': 20000}","{'curiosity_led_move_rate': 0.849, 'consume_under_curiosity_pressure_rate': 0.022283641388840904, 'movement_step_rate': 0.9423, 'consume_step_rate': 0.0577}","{'mean_curiosity_activation': 0.750203106938754, 'mean_spatial_novelty': 0.46723863981185915, 'mean_sensory_novelty': 0.27170429173933486, 'mean_composite_novelty': 0.3205878787574706, 'curiosity_pressure_rate': 0.86835}","{'world_model_unique_cells': 68.18, 'mean_visit_count_at_current': 19.4599, 'world_model_revisit_ratio': 0.8299750623441393}",0.56,1.0,15.65288583948883,89.6,0.28006999999999976
exp_03,world-sparse-scarcity,Sparse Scarcity Patches,50,207.98,79.31468716448425,0.011720000000000055,0.053711600236820575,0.94,0.4312367341915483,0.44224086381884253,1.0,0.0,0.0,1.4793088750830705,0.4060589472360984,0.3484805680506938,128.54,0.6369357177757723,0.353583822819227,"{'curiosity_dominance_rate': 0.20521203961919415, 'mean_curiosity_weight': 0.25187977690931646, 'mean_hunger_weight': 0.5578223656174648, 'arbitrated_step_count': 10399}","{'curiosity_led_move_rate': 0.37695932301182805, 'consume_under_curiosity_pressure_rate': 0.011598587997982855, 'movement_step_rate': 0.9514376382344456, 'consume_step_rate': 0.04856236176555438}","{'mean_curiosity_activation': 0.9686694116120711, 'mean_spatial_novelty': 0.6821860827763369, 'mean_sensory_novelty': 0.031916504604074414, 'mean_composite_novelty': 0.19448389914715977, 'curiosity_pressure_rate': 0.38138282527166073}","{'world_model_unique_cells': 128.54, 'mean_visit_count_at_current': 2.2307914222521394, 'world_model_revisit_ratio': 0.3802436039262635}",0.56,0.06,12.860596392451265,-102.42,-0.2776300000000002
exp_04,world-rich-cluster-islands,Rich Cluster Islands,50,297.32,122.41608391057122,0.29259999999999997,0.2875633451954544,0.48,0.6082048501651394,0.6246061202221577,0.88,0.0,0.0,1.4608935449197613,0.4097227763261694,0.23164922792513654,91.86,0.4031326424504295,0.5945217716902188,"{'curiosity_dominance_rate': 0.32180815283196557, 'mean_curiosity_weight': 0.35750229172272263, 'mean_hunger_weight': 0.4434342693478446, 'arbitrated_step_count': 14866}","{'curiosity_led_move_rate': 0.6424727566258577, 'consume_under_curiosity_pressure_rate': 0.02301554828150573, 'movement_step_rate': 0.9500874478676173, 'consume_step_rate': 0.04991255213238262}","{'mean_curiosity_activation': 0.7573197256042719, 'mean_spatial_novelty': 0.543862805905434, 'mean_sensory_novelty': 0.2612575399086057, 'mean_composite_novelty': 0.3319088564078291, 'curiosity_pressure_rate': 0.6576079644827122}","{'world_model_unique_cells': 91.86, 'mean_visit_count_at_current': 8.81844477330822, 'world_model_revisit_ratio': 0.6052191523401415}",0.56,0.52,10.110614193276788,-13.08,0.0032499999999997314
exp_05,world-toroidal-wrap,Toroidal Wraparound Grid,50,363.14,87.76992879112991,0.4345300000000003,0.22739112581629042,0.18,0.7622876876652159,0.7863551022831886,0.96,0.0,0.0,1.480293070990999,0.40874507958907785,0.2513843500841917,114.88,0.35270445821876956,0.6402877705078781,"{'curiosity_dominance_rate': 0.2591837858677094, 'mean_curiosity_weight': 0.3429032000743507, 'mean_hunger_weight': 0.44359558752133976, 'arbitrated_step_count': 18157}","{'curiosity_led_move_rate': 0.6157404857630666, 'consume_under_curiosity_pressure_rate': 0.023580786026200874, 'movement_step_rate': 0.9393622294431899, 'consume_step_rate': 0.06063777055681004}","{'mean_curiosity_activation': 0.7755614032219694, 'mean_spatial_novelty': 0.6144069970015847, 'mean_sensory_novelty': 0.24588319172247083, 'mean_composite_novelty': 0.33801414304224897, 'curiosity_pressure_rate': 0.6306107837197775}","{'world_model_unique_cells': 145.56, 'mean_visit_count_at_current': 5.3785316957647185, 'world_model_revisit_ratio': 0.5686102832415928}",0.56,0.82,9.198708707069464,52.74,0.14518000000000011
exp_06,world-large-open-field,Larger Open Field,50,297.88,122.79049474613254,0.28240000000000015,0.28942587583006474,0.5,0.601865211327986,0.6185947727341496,0.86,0.0,0.0,1.4771739221526226,0.3732476233553138,0.25576293148353707,117.14,0.4960529912748284,0.49950470330016317,"{'curiosity_dominance_rate': 0.29213105948704177, 'mean_curiosity_weight': 0.3539125851698677, 'mean_hunger_weight': 0.4440585732821288, 'arbitrated_step_count': 14894}","{'curiosity_led_move_rate': 0.638310729152679, 'consume_under_curiosity_pressure_rate': 0.022918807810894143, 'movement_step_rate': 0.94903988183161, 'consume_step_rate': 0.05096011816838995}","{'mean_curiosity_activation': 0.7684377484423641, 'mean_spatial_novelty': 0.5796035274973228, 'mean_sensory_novelty': 0.2520859673554937, 'mean_composite_novelty': 0.33396535739097055, 'curiosity_pressure_rate': 0.6532832012891097}","{'world_model_unique_cells': 117.14, 'mean_visit_count_at_current': 5.862964952329797, 'world_model_revisit_ratio': 0.5146750553288283}",0.56,0.5,13.947338596976483,-12.52,-0.00695000000000013
exp_07,world-compact-dense-feedback,Compact Dense-Feedback Arena,50,400.0,0.0,0.5629060000000004,0.03248233002725789,0.0,0.8619014999999999,0.8874855451180195,1.0,0.0,0.0,1.4866123594280993,0.40465437237385965,0.11167919799498746,50.38,0.12968634319149783,0.8678345279078955,"{'curiosity_dominance_rate': 0.30985, 'mean_curiosity_weight': 0.38005909295800416, 'mean_hunger_weight': 0.41186020507059945, 'arbitrated_step_count': 20000}","{'curiosity_led_move_rate': 0.815, 'consume_under_curiosity_pressure_rate': 0.012958701707642, 'movement_step_rate': 0.94235, 'consume_step_rate': 0.05765}","{'mean_curiosity_activation': 0.7290036501800123, 'mean_spatial_novelty': 0.4300923548512538, 'mean_sensory_novelty': 0.30008102636256795, 'mean_composite_novelty': 0.3325838584847467, 'curiosity_pressure_rate': 0.8257}","{'world_model_unique_cells': 50.38, 'mean_visit_count_at_current': 15.7707, 'world_model_revisit_ratio': 0.8743640897755608}",0.56,1.0,13.152782665559853,89.6,0.2735559999999999
exp_08,world-long-cooldown,Long Cooldown Regeneration,50,324.88,108.92302603214807,0.3226350000000002,0.28085386418028857,0.4,0.6715144582448267,0.6904898915506251,0.9,0.0,0.0,1.4823277760955766,0.42632293001943056,0.22100241240421795,101.46,0.3763111709806593,0.6198433903155808,"{'curiosity_dominance_rate': 0.30054173848805715, 'mean_curiosity_weight': 0.3492713202759452, 'mean_hunger_weight': 0.4464361227895696, 'arbitrated_step_count': 16244}","{'curiosity_led_move_rate': 0.6353114996306328, 'consume_under_curiosity_pressure_rate': 0.027607650994063884, 'movement_step_rate': 0.9469342526471313, 'consume_step_rate': 0.05306574735286875}","{'mean_curiosity_activation': 0.7855330320376663, 'mean_spatial_novelty': 0.5561379037946661, 'mean_sensory_novelty': 0.2338235005543175, 'mean_composite_novelty': 0.3144021013644168, 'curiosity_pressure_rate': 0.6533489288352623}","{'world_model_unique_cells': 101.46, 'mean_visit_count_at_current': 7.5848928835262255, 'world_model_revisit_ratio': 0.6326012378701227}",0.56,0.6,6.995020159456373,14.48,0.033284999999999884
